Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    277.14     0.00      156     0.00     0.00  allreduce_exec
  0.00    277.14     0.00      156     0.00     0.00  ltrunc_
  0.00    277.14     0.00      144     0.00     0.00  facev_
  0.00    277.14     0.00      141     0.00     0.00  findpt_edge
  0.00    277.14     0.00      141     0.00     0.00  get_edge
  0.00    277.14     0.00      131     0.00     0.00  cfill_
  0.00    277.14     0.00      128     0.00     0.00  mg_intp_fc_e_
  0.00    277.14     0.00      128     0.00     0.00  mg_intp_gfc_e_
  0.00    277.14     0.00      128     0.00     0.00  setzgml_
  0.00    277.14     0.00      127     0.00     0.00  jl_findpts_el_3
  0.00    277.14     0.00      116     0.00     0.00  radix_zeros_ull
  0.00    277.14     0.00      112     0.00     0.00  compute_face_data_rs
  0.00    277.14     0.00       94     0.00     0.00  compute_face_data_st
  0.00    277.14     0.00       73     0.00     0.00  invers2_
  0.00    277.14     0.00       71     0.00     0.00  compute_face_data_tr
  0.00    277.14     0.00       71     0.00     0.00  jl_gs
  0.00    277.14     0.00       69     0.00     0.00  jl_gs_init
  0.00    277.14     0.00       67     0.00     0.00  gs_op_
  0.00    277.14     0.00       64     0.00     0.00  gxfer_e_
  0.00    277.14     0.00       64     0.00     0.00  sethmat_
  0.00    277.14     0.00       64     0.00     0.00  xyzlin_
  0.00    277.14     0.00       54     0.00     0.00  iglsum_
  0.00    277.14     0.00       48     0.00     0.00  row_zero_
  0.00    277.14     0.00       46     0.00     0.00  err_chk_
  0.00    277.14     0.00       43     0.00     0.00  jacg_
  0.00    277.14     0.00       43     0.00     0.00  pnormj_
  0.00    277.14     0.00       43     0.00     0.00  zwgjd_
  0.00    277.14     0.00       42     0.00     0.00  jl_gs_gather_array
  0.00    277.14     0.00       41     0.00     0.00  crystal_ituple_transfer_
  0.00    277.14     0.00       39     0.00     0.00  dry_run_time
  0.00    277.14     0.00       39     0.00     0.00  merge_copy_perm_ull
  0.00    277.14     0.00       37     0.00     0.00  byte_set_view_
  0.00    277.14     0.00       36     0.00     0.00  glsc3_
  0.00    277.14     0.00       34     0.00     0.00  gather_double_mul
  0.00    277.14     0.00       32     0.00     0.00  jl_sortv_ui
  0.00    277.14     0.00       31     0.00     0.00  rone_
  0.00    277.14     0.00       30     0.00     0.00  bcast_
  0.00    277.14     0.00       30     0.00     0.00  dssum_
  0.00    277.14     0.00       28     0.00     0.00  cr_learn
  0.00    277.14     0.00       27     0.00     0.00  axhelm_
  0.00    277.14     0.00       27     0.00     0.00  endw1_
  0.00    277.14     0.00       27     0.00     0.00  endw2_
  0.00    277.14     0.00       27     0.00     0.00  glmin_
  0.00    277.14     0.00       27     0.00     0.00  setfast_
  0.00    277.14     0.00       27     0.00     0.00  vlamax_
  0.00    277.14     0.00       27     0.00     0.00  zwglj_
  0.00    277.14     0.00       27     0.00     0.00  zwgljd_
  0.00    277.14     0.00       27     0.00     0.00  zwgll_
  0.00    277.14     0.00       26     0.00     0.00  cr_free_stage_maps
  0.00    277.14     0.00       24     0.00     0.00  mod1_
  0.00    277.14     0.00       21     0.00     0.00  igl_running_sum_
  0.00    277.14     0.00       20     0.00     0.00  gbtuple_rank_
  0.00    277.14     0.00       20     0.00     0.00  irank_vecn_
  0.00    277.14     0.00       17     0.00     0.00  zwgj_
  0.00    277.14     0.00       17     0.00     0.00  zwgl_
  0.00    277.14     0.00       16     0.00     0.00  capit_
  0.00    277.14     0.00       16     0.00     0.00  dsop_
  0.00    277.14     0.00       16     0.00     0.00  izero_
  0.00    277.14     0.00       15     0.00     0.00  jl_lobatto_nodes
  0.00    277.14     0.00       14     0.00     0.01  cr_setup
  0.00    277.14     0.00       14     0.00     0.02  gs_setup_aux
  0.00    277.14     0.00       14     0.00     0.00  jl_comm_scan
  0.00    277.14     0.00       14     0.00     0.00  jl_crystal_free
  0.00    277.14     0.00       14     0.00     0.00  jl_crystal_init
  0.00    277.14     0.00       14     0.00     0.00  nonzero_ids
  0.00    277.14     0.00       14     0.00     0.00  shared_ids
  0.00    277.14     0.00       14     0.00     0.00  sub2_
  0.00    277.14     0.00       13     0.00     0.00  allreduce_free
  0.00    277.14     0.00       13     0.00     0.02  auto_setup
  0.00    277.14     0.00       13     0.00     0.00  check_p_bc_
  0.00    277.14     0.00       13     0.00     0.00  cr_free
  0.00    277.14     0.00       13     0.00     0.02  gs_setup_
  0.00    277.14     0.00       13     0.00     0.02  gs_setup_pick_
  0.00    277.14     0.00       13     0.00     0.00  set_vert_
  0.00    277.14     0.00       13     0.00     0.00  setvert3d_
  0.00    277.14     0.00       13     0.00     0.00  usrsetvert_
  0.00    277.14     0.00       12     0.00     0.00  gather_double_max
  0.00    277.14     0.00       12     0.00     0.00  gather_double_min
  0.00    277.14     0.00       12     0.00     0.00  igllm_
  0.00    277.14     0.00       11     0.00     0.00  dnekclock_sync_
  0.00    277.14     0.00       11     0.00     0.00  i8copy_
  0.00    277.14     0.00       11     0.00     0.00  i8gop_
  0.00    277.14     0.00       11     0.00     0.00  jl_sortv_ull
  0.00    277.14     0.00       11     0.00     0.02  setupds_
  0.00    277.14     0.00       10     0.00     0.00  i8glmax_
  0.00    277.14     0.00        9     0.00     0.00  addcol4_
  0.00    277.14     0.00        9     0.00     0.00  hsmg_extrude_
  0.00    277.14     0.00        9     0.00     0.00  jl_gll_lag_setup
  0.00    277.14     0.00        9     0.00     0.00  jl_gll_lag_size
  0.00    277.14     0.00        9     0.00     0.00  lagrange_coef
  0.00    277.14     0.00        9     0.00     0.00  legendre
  0.00    277.14     0.00        9     0.00     0.00  rzero3_
  0.00    277.14     0.00        9     0.00     0.00  subcol4_
  0.00    277.14     0.00        8     0.00     0.00  gen_crs_basis_
  0.00    277.14     0.00        8     0.00     0.00  hsmg_dsprod_
  0.00    277.14     0.00        8     0.00     0.00  hsmg_dssum_
  0.00    277.14     0.00        8     0.00     0.00  hsmg_setup_intpm_
  0.00    277.14     0.00        8     0.00     0.00  invcol1_
  0.00    277.14     0.00        6     0.00     0.00  dgll_
  0.00    277.14     0.00        6     0.00     0.00  glamax_
  0.00    277.14     0.00        6     0.00     0.00  gllog_
  0.00    277.14     0.00        6     0.00     0.00  jl_fail
  0.00    277.14     0.00        6     0.00     0.00  mfo_mdatav_
  0.00    277.14     0.00        6     0.00     0.00  semhat_
  0.00    277.14     0.00        5     0.00     0.00  byte_close_
  0.00    277.14     0.00        5     0.00     0.00  byte_open_
  0.00    277.14     0.00        5     0.00     0.00  get_bytesw_write_
  0.00    277.14     0.00        5     0.00     0.00  get_vert_
  0.00    277.14     0.00        5     0.00     0.00  glsc2_
  0.00    277.14     0.00        5     0.00     0.00  hsmg_setup_mask_
  0.00    277.14     0.00        5     0.00     0.00  hsmg_setup_rstr_wt_
  0.00    277.14     0.00        5     0.00     0.00  i_find_prefix_
  0.00    277.14     0.00        5     0.00     0.00  mbyte_open_
  0.00    277.14     0.00        5     0.00     0.00  mfo_mdatas_
  0.00    277.14     0.00        5     0.00     0.00  mfo_open_files_
  0.00    277.14     0.00        5     0.00     0.00  mfo_outfld_
  0.00    277.14     0.00        5     0.00     0.00  mfo_outs_
  0.00    277.14     0.00        5     0.00     0.00  mfo_write_hdr_
  0.00    277.14     0.00        5     0.00     0.00  outfld_
  0.00    277.14     0.00        5     0.00     0.00  restart_nfld_
  0.00    277.14     0.00        4     0.00     0.00  dlamc4_
  0.00    277.14     0.00        4     0.00     0.00  gather_int_add
  0.00    277.14     0.00        4     0.00     0.00  gather_int_bpr
  0.00    277.14     0.00        4     0.00     0.00  hsmg_intp_fc_
  0.00    277.14     0.00        4     0.00     0.00  hsmg_tnsr3d_
  0.00    277.14     0.00        4     0.00     0.00  hsmg_tnsr_
  0.00    277.14     0.00        3     0.00     0.00  area3_
  0.00    277.14     0.00        3     0.00     0.03  gammam1_
  0.00    277.14     0.00        3     0.00     0.01  geodat1_
  0.00    277.14     0.00        3     0.00     0.00  geom1_
  0.00    277.14     0.00        3     0.00     0.00  geom2_
  0.00    277.14     0.00        3     0.00     0.00  getdr_
  0.00    277.14     0.00        3     0.00     0.00  glmapm1_
  0.00    277.14     0.00        3     0.00     0.00  h1mg_setup_mask_
  0.00    277.14     0.00        3     0.00     0.00  h1mg_setup_schwarz_wt_1_
  0.00    277.14     0.00        3     0.00     0.00  hsmg_schwarz_dssum_
  0.00    277.14     0.00        3     0.00     0.00  hsmg_schwarz_toreg3d_
  0.00    277.14     0.00        3     0.00     0.34  hsmg_setup_fast_
  0.00    277.14     0.00        3     0.00     0.00  jl_findpts_el_eval_2
  0.00    277.14     0.00        3     0.00     0.00  jl_gs_free
  0.00    277.14     0.00        3     0.00     0.00  jl_lob_bnd_setup
  0.00    277.14     0.00        3     0.00     0.00  jl_lobatto_quad
  0.00    277.14     0.00        3     0.00     0.00  rescale_x_
  0.00    277.14     0.00        3     0.00     0.01  setarea_
  0.00    277.14     0.00        3     0.00     0.04  setdef_
  0.00    277.14     0.00        3     0.00     0.00  setinvm_
  0.00    277.14     0.00        3     0.00     0.00  sfastax_
  0.00    277.14     0.00        3     0.00     0.00  updmsys_
  0.00    277.14     0.00        3     0.00     0.00  volume_
  0.00    277.14     0.00        3     0.00     0.00  xyzrst_
  0.00    277.14     0.00        2     0.00     0.00  crystal_setup_
  0.00    277.14     0.00        2     0.00     0.00  dsavg_
  0.00    277.14     0.00        2     0.00     0.05  geom_reset_
  0.00    277.14     0.00        2     0.00     0.00  gs_op_many_
  0.00    277.14     0.00        2     0.00     0.00  hsmg_setup_intp_
  0.00    277.14     0.00        2     0.00     0.00  hsmg_setup_solve_
  0.00    277.14     0.00        2     0.00     0.00  ifgtil_
  0.00    277.14     0.00        2     0.00     0.02  jl_crs_setup
  0.00    277.14     0.00        2     0.00     0.01  jl_gs_setup
  0.00    277.14     0.00        2     0.00     0.00  jl_sparse_cholesky_factor
