Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     90.82     0.00     1332     0.00     0.00  dgemv_
  0.00     90.82     0.00     1332     0.00     0.00  dsyr2_
  0.00     90.82     0.00     1253     0.00     0.00  jacobf_
  0.00     90.82     0.00     1024     0.00     0.00  vlsc2_
  0.00     90.82     0.00     1008     0.00     0.00  ilaenv_
  0.00     90.82     0.00      960     0.00     0.00  irank_
  0.00     90.82     0.00      960     0.00     0.00  isort_
  0.00     90.82     0.00      960     0.00     0.00  vlmax_
  0.00     90.82     0.00      829     0.00     0.00  lin_solve_sym_2
  0.00     90.82     0.00      816     0.00     0.00  dlarfg_
  0.00     90.82     0.00      816     0.00     0.00  dtrsv_
  0.00     90.82     0.00      816     0.00     0.00  vlmin_
  0.00     90.82     0.00      792     0.00     0.00  jl_gs_scatter
  0.00     90.82     0.00      786     0.00     0.00  jl_gs_gather
  0.00     90.82     0.00      780     0.00     0.00  scatter_noop
  0.00     90.82     0.00      768     0.00     0.00  addcol3_
  0.00     90.82     0.00      720     0.00     0.00  pnleg_
  0.00     90.82     0.00      672     0.00     0.00  dnrm2_
  0.00     90.82     0.00      576     0.00     0.00  jl_lob_bnd_2
  0.00     90.82     0.00      576     0.00     0.00  jl_lob_bnd_lin_2
  0.00     90.82     0.00      576     0.00     0.00  lob_bnd_ext
  0.00     90.82     0.00      516     0.00     0.00  dger_
  0.00     90.82     0.00      495     0.00     0.00  jl_sparse_cholesky_solve
  0.00     90.82     0.00      449     0.00     0.00  col3_
  0.00     90.82     0.00      432     0.00     0.00  hgll_
  0.00     90.82     0.00      421     0.00     0.00  apply_QQt
  0.00     90.82     0.00      421     0.00     0.00  apply_p_Als
  0.00     90.82     0.00      421     0.00     0.00  sum
  0.00     90.82     0.00      390     0.00     0.00  newton_face
  0.00     90.82     0.00      360     0.00     0.00  pndleg_
  0.00     90.82     0.00      346     0.00     0.00  merge_copy_perm_ui
  0.00     90.82     0.00      336     0.00     0.00  hash_range_3
  0.00     90.82     0.00      324     0.00     0.00  indx1_
  0.00     90.82     0.00      322     0.00     0.00  cmult_
  0.00     90.82     0.00      320     0.00     0.00  dswap_
  0.00     90.82     0.00      315     0.00     0.00  jl_comm_allreduce
  0.00     90.82     0.00      312     0.00     0.00  gather_noop
  0.00     90.82     0.00      304     0.00     0.00  add3_
  0.00     90.82     0.00      300     0.00     0.00  dsset_
  0.00     90.82     0.00      297     0.00     0.00  vcross_
  0.00     90.82     0.00      288     0.00     0.00  facexv_
  0.00     90.82     0.00      256     0.00     0.00  ifvchk_
  0.00     90.82     0.00      233     0.00     0.02  pw_setup
  0.00     90.82     0.00      192     0.00     0.00  chknord_
  0.00     90.82     0.00      176     0.00     0.00  get_fast_bc_
  0.00     90.82     0.00      170     0.00     0.00  jl_gs_init_array
  0.00     90.82     0.00      163     0.00     0.00  chcopy_
  0.00     90.82     0.00      162     0.00     0.02  cr_exec
  0.00     90.82     0.00      160     0.00     0.00  blank_
  0.00     90.82     0.00      156     0.00     0.00  allreduce_exec
  0.00     90.82     0.00      151     0.00     0.00  radix_zeros_ull
